Initialization Method,Accuracy,Iterations,Time
Naive Sharding,97.18,6,0.08026003837585449
Naive Sharding,97.18,6,0.0828850269317627
Naive Sharding,97.18,6,0.07840609550476074
Naive Sharding,97.18,6,0.0814359188079834
Naive Sharding,97.18,6,0.0802161693572998
Naive Sharding,97.18,6,0.0801858901977539
Naive Sharding,97.18,6,0.08259463310241699
Naive Sharding,97.18,6,0.08185219764709473
Naive Sharding,97.18,6,0.08029413223266602
Naive Sharding,97.18,6,0.0811767578125
Naive Sharding,97.18,6,0.07969284057617188
Naive Sharding,97.18,6,0.0813450813293457
Naive Sharding,97.18,6,0.08495616912841797
Naive Sharding,97.18,6,0.08167290687561035
Naive Sharding,97.18,6,0.07860612869262695
Naive Sharding,97.18,6,0.07919907569885254
Naive Sharding,97.18,6,0.08080506324768066
Naive Sharding,97.18,6,0.08016514778137207
Naive Sharding,97.18,6,0.07888913154602051
Naive Sharding,97.18,6,0.08124303817749023
Naive Sharding,97.18,6,0.08043384552001953
Naive Sharding,97.18,6,0.07937979698181152
Naive Sharding,97.18,6,0.08538103103637695
Naive Sharding,97.18,6,0.08038091659545898
Naive Sharding,97.18,6,0.08056116104125977
Naive Sharding,97.18,6,0.08288288116455078
Naive Sharding,97.18,6,0.07955694198608398
Naive Sharding,97.18,6,0.08126616477966309
Naive Sharding,97.18,6,0.08229660987854004
Naive Sharding,97.18,6,0.07981204986572266
Naive Sharding,97.18,6,0.07997918128967285
Naive Sharding,97.18,6,0.08428025245666504
Naive Sharding,97.18,6,0.08462190628051758
Naive Sharding,97.18,6,0.08216094970703125
Naive Sharding,97.18,6,0.07826900482177734
Naive Sharding,97.18,6,0.08598685264587402
Naive Sharding,97.18,6,0.08099007606506348
Naive Sharding,97.18,6,0.13504600524902344
Naive Sharding,97.18,6,0.07992410659790039
Naive Sharding,97.18,6,0.08126211166381836
Naive Sharding,97.18,6,0.08143210411071777
Naive Sharding,97.18,6,0.08025217056274414
Naive Sharding,97.18,6,0.08154296875
Naive Sharding,97.18,6,0.08168601989746094
Naive Sharding,97.18,6,0.08119988441467285
Naive Sharding,97.18,6,0.08655905723571777
Naive Sharding,97.18,6,0.08038091659545898
Naive Sharding,97.18,6,0.08492183685302734
Naive Sharding,97.18,6,0.08330535888671875
Naive Sharding,97.18,6,0.08322572708129883
Naive Sharding,97.18,6,0.08135819435119629
Naive Sharding,97.18,6,0.09187579154968262
Naive Sharding,97.18,6,0.08282017707824707
Naive Sharding,97.18,6,0.08414292335510254
Naive Sharding,97.18,6,0.08170390129089355
Naive Sharding,97.18,6,0.08162188529968262
Naive Sharding,97.18,6,0.08481287956237793
Naive Sharding,97.18,6,0.08065366744995117
Naive Sharding,97.18,6,0.08162784576416016
Naive Sharding,97.18,6,0.08062601089477539
Naive Sharding,97.18,6,0.08167099952697754
Naive Sharding,97.18,6,0.08237528800964355
Naive Sharding,97.18,6,0.08234906196594238
Naive Sharding,97.18,6,0.0884847640991211
Naive Sharding,97.18,6,0.08140683174133301
Naive Sharding,97.18,6,0.08248710632324219
Naive Sharding,97.18,6,0.08048295974731445
Naive Sharding,97.18,6,0.08074593544006348
Naive Sharding,97.18,6,0.08317995071411133
Naive Sharding,97.18,6,0.08159112930297852
Naive Sharding,97.18,6,0.08176994323730469
Naive Sharding,97.18,6,0.0814211368560791
Naive Sharding,97.18,6,0.08063793182373047
Naive Sharding,97.18,6,0.08751201629638672
Naive Sharding,97.18,6,0.0827629566192627
Naive Sharding,97.18,6,0.08164405822753906
Naive Sharding,97.18,6,0.0839848518371582
Naive Sharding,97.18,6,0.08174014091491699
Naive Sharding,97.18,6,0.08112812042236328
Naive Sharding,97.18,6,0.08053803443908691
Naive Sharding,97.18,6,0.07982897758483887
Naive Sharding,97.18,6,0.08492112159729004
Naive Sharding,97.18,6,0.08247613906860352
Naive Sharding,97.18,6,0.08350181579589844
Naive Sharding,97.18,6,0.0808568000793457
Cutter Fairbank,95.48,5,0.06522107124328613
Cutter Fairbank,95.48,5,0.06709718704223633
Cutter Fairbank,95.48,5,0.06605696678161621
Cutter Fairbank,95.48,5,0.06724905967712402
Cutter Fairbank,95.48,5,0.06355500221252441
Cutter Fairbank,95.48,5,0.0689401626586914
Cutter Fairbank,95.48,5,0.06878328323364258
Cutter Fairbank,95.48,5,0.06711983680725098
Cutter Fairbank,95.48,5,0.06819796562194824
Cutter Fairbank,95.48,5,0.06664490699768066
Cutter Fairbank,95.48,5,0.07033586502075195
Cutter Fairbank,95.48,5,0.08633112907409668
Cutter Fairbank,95.48,5,0.07830286026000977
Cutter Fairbank,95.48,5,0.07780814170837402
Cutter Fairbank,95.48,5,0.07443833351135254
Cutter Fairbank,95.48,5,0.0713341236114502
Cutter Fairbank,95.48,5,0.0697939395904541
Cutter Fairbank,95.48,5,0.12690401077270508
Cutter Fairbank,95.48,5,0.12323307991027832
Cutter Fairbank,95.48,5,0.07497596740722656
Cutter Fairbank,95.48,5,0.07681894302368164
Cutter Fairbank,95.48,5,0.0766761302947998
Cutter Fairbank,95.48,5,0.0691380500793457
Cutter Fairbank,95.48,5,0.06389784812927246
Cutter Fairbank,95.48,5,0.062127113342285156
Cutter Fairbank,95.48,5,0.06783819198608398
Cutter Fairbank,95.48,5,0.0624089241027832
Cutter Fairbank,95.48,5,0.06260299682617188
Cutter Fairbank,95.48,5,0.06448721885681152
Cutter Fairbank,95.48,5,0.06308674812316895
Cutter Fairbank,95.48,5,0.06651520729064941
Cutter Fairbank,95.48,5,0.06310319900512695
Cutter Fairbank,95.48,5,0.06337785720825195
Cutter Fairbank,95.48,5,0.06578993797302246
Cutter Fairbank,95.48,5,0.06405305862426758
Cutter Fairbank,95.48,5,0.06265497207641602
Cutter Fairbank,95.48,5,0.06373000144958496
Cutter Fairbank,95.48,5,0.06454610824584961
Cutter Fairbank,95.48,5,0.06292080879211426
Cutter Fairbank,95.48,5,0.06215810775756836
Cutter Fairbank,95.48,5,0.06498003005981445
Cutter Fairbank,95.48,5,0.06404685974121094
Cutter Fairbank,95.48,5,0.06263399124145508
Cutter Fairbank,95.48,5,0.06245303153991699
Cutter Fairbank,95.48,5,0.06428003311157227
Cutter Fairbank,95.48,5,0.06454706192016602
Cutter Fairbank,95.48,5,0.06353902816772461
Cutter Fairbank,95.48,5,0.06206703186035156
Cutter Fairbank,95.48,5,0.06704401969909668
Cutter Fairbank,95.48,5,0.06297993659973145
Cutter Fairbank,95.48,5,0.0632777214050293
Cutter Fairbank,95.48,5,0.07160687446594238
Cutter Fairbank,95.48,5,0.07220196723937988
Cutter Fairbank,95.48,5,0.06899881362915039
Cutter Fairbank,95.48,5,0.06656980514526367
Cutter Fairbank,95.48,5,0.06925582885742188
Cutter Fairbank,95.48,5,0.06638193130493164
Cutter Fairbank,95.48,5,0.06540679931640625
Cutter Fairbank,95.48,5,0.0859839916229248
Cutter Fairbank,95.48,5,0.07133889198303223
Cutter Fairbank,95.48,5,0.07070112228393555
Cutter Fairbank,95.48,5,0.0681309700012207
Cutter Fairbank,95.48,5,0.07115888595581055
Cutter Fairbank,95.48,5,0.08705401420593262
Cutter Fairbank,95.48,5,0.09749388694763184
Cutter Fairbank,95.48,5,0.07230520248413086
Cutter Fairbank,95.48,5,0.07364201545715332
Cutter Fairbank,95.48,5,0.06778120994567871
Cutter Fairbank,95.48,5,0.07349395751953125
Cutter Fairbank,95.48,5,0.06971907615661621
Cutter Fairbank,95.48,5,0.07020711898803711
Cutter Fairbank,95.48,5,0.06665921211242676
Cutter Fairbank,95.48,5,0.06403303146362305
Cutter Fairbank,95.48,5,0.0785973072052002
Cutter Fairbank,95.48,5,0.08016324043273926
Cutter Fairbank,95.48,5,0.07212495803833008
Cutter Fairbank,95.48,5,0.06858539581298828
Cutter Fairbank,95.48,5,0.08055901527404785
Cutter Fairbank,95.48,5,0.07020902633666992
Cutter Fairbank,95.48,5,0.0708620548248291
Cutter Fairbank,95.48,5,0.07277226448059082
Cutter Fairbank,95.48,5,0.06484413146972656
Cutter Fairbank,95.48,5,0.06316995620727539
Cutter Fairbank,95.48,5,0.062348127365112305
Cutter Fairbank,95.48,5,0.06405305862426758
Cutter Fairbank,95.48,5,0.06309390068054199
Cutter Fairbank,95.48,5,0.07209610939025879
Cutter Fairbank,95.48,5,0.07932496070861816
Cutter Fairbank,95.48,5,0.07968306541442871
Cutter Fairbank,95.48,5,0.0759890079498291
Cutter Fairbank,95.48,5,0.08419108390808105
Cutter Fairbank,95.48,5,0.07878565788269043
Cutter Fairbank,95.48,5,0.07399797439575195
Cutter Fairbank,95.48,5,0.0718989372253418
Cutter Fairbank,95.48,5,0.07964205741882324
Cutter Fairbank,95.48,5,0.06675314903259277
Cutter Fairbank,95.48,5,0.06372308731079102
Cutter Fairbank,95.48,5,0.07324433326721191
Cutter Fairbank,95.48,5,0.0671389102935791
Cutter Fairbank,95.48,5,0.07471704483032227
